month,bnf_chemical_name,monthly_items
2018-11-01,Atomoxetine,5
2018-11-01,Dexamfetamine,218
2018-11-01,Lisdexamfetamine,477
2018-11-01,Methylphenidate,540
2018-12-01,All chemicals,3067
2018-12-01,Atomoxetine,4
2018-12-01,Dexamfetamine,347
2018-12-01,Guanfacine,1
2018-12-01,Lisdexamfetamine,1124
2018-12-01,Methylphenidate,1591
2019-01-01,All chemicals,3257
2019-01-01,Atomoxetine,1
2019-01-01,Dexamfetamine,401
2019-01-01,Guanfacine,1
2019-01-01,Lisdexamfetamine,1210
2019-01-01,Methylphenidate,1644
2019-02-01,All chemicals,2033
2019-02-01,Atomoxetine,4
2019-02-01,Dexamfetamine,202
2019-02-01,Guanfacine,4
2019-02-01,Lisdexamfetamine,647
2019-02-01,Methylphenidate,1176
2019-03-01,All chemicals,3548
2019-03-01,Atomoxetine,5
2019-03-01,Dexamfetamine,453
2019-03-01,Guanfacine,1
2019-03-01,Lisdexamfetamine,1334
2019-03-01,Methylphenidate,1755
2019-04-01,All chemicals,3224
2019-04-01,Atomoxetine,2
2019-04-01,Dexamfetamine,320
2019-04-01,Guanfacine,3
2019-04-01,Lisdexamfetamine,1274
2019-04-01,Methylphenidate,1625
2019-05-01,All chemicals,2834
2019-05-01,Dexamfetamine,313
2019-05-01,Guanfacine,7
2019-05-01,Lisdexamfetamine,997
2019-05-01,Methylphenidate,1517
2019-06-01,All chemicals,2800
2019-06-01,Atomoxetine,3
2019-06-01,Dexamfetamine,306
2019-06-01,Guanfacine,1
2019-06-01,Lisdexamfetamine,1023
2019-06-01,Methylphenidate,1467
2019-07-01,All chemicals,2110
2019-07-01,Atomoxetine,5
2019-07-01,Dexamfetamine,252
2019-07-01,Guanfacine,3
2019-07-01,Lisdexamfetamine,822
2019-07-01,Methylphenidate,1028
2019-08-01,All chemicals,3371
2019-08-01,Atomoxetine,5
2019-08-01,Dexamfetamine,421
2019-08-01,Guanfacine,6
2019-08-01,Lisdexamfetamine,1201
2019-08-01,Methylphenidate,1738
2019-09-01,All chemicals,4024
2019-09-01,Atomoxetine,7
2019-09-01,Dexamfetamine,509
2019-09-01,Guanfacine,2
2019-09-01,Lisdexamfetamine,1562
2019-09-01,Methylphenidate,1944
2019-10-01,All chemicals,3219
2019-10-01,Atomoxetine,3
2019-10-01,Dexamfetamine,400
2019-10-01,Guanfacine,4
2019-10-01,Lisdexamfetamine,1237
2019-10-01,Methylphenidate,1575
2019-11-01,All chemicals,3681
2019-11-01,Atomoxetine,1
2019-11-01,Dexamfetamine,439
2019-11-01,Guanfacine,3
2019-11-01,Lisdexamfetamine,1314
2019-11-01,Methylphenidate,1924
2019-12-01,All chemicals,3233
2019-12-01,Atomoxetine,2
