month,bnf_chemical_name,monthly_ddd_quantity
2021-01-01,All chemicals,96426.27500000001
2021-01-01,Atomoxetine,5611.375
2021-01-01,Dexamfetamine,3925.666666666667
2021-01-01,Guanfacine,7431.666666666667
2021-01-01,Lisdexamfetamine,17956.666666666668
2021-01-01,Methylphenidate,61500.9
2021-02-01,All chemicals,94013.87583333334
2021-02-01,Atomoxetine,5622.6625
2021-02-01,Dexamfetamine,2484.3333333333335
2021-02-01,Guanfacine,7387
2021-02-01,Lisdexamfetamine,17245.333333333336
2021-02-01,Methylphenidate,61274.54666666667
2021-03-01,All chemicals,111343.35416666667
2021-03-01,Atomoxetine,6685.7875
2021-03-01,Dexamfetamine,4610.666666666667
2021-03-01,Guanfacine,8033.666666666666
2021-03-01,Lisdexamfetamine,19734
2021-03-01,Methylphenidate,72279.23333333334
2021-04-01,All chemicals,111739.625
2021-04-01,Atomoxetine,6452.725
2021-04-01,Dexamfetamine,3913.3333333333335
2021-04-01,Guanfacine,8720.333333333334
2021-04-01,Lisdexamfetamine,18224.333333333336
2021-04-01,Methylphenidate,74428.90000000001
2021-05-01,All chemicals,108144.53783333334
2021-05-01,Atomoxetine,6177.2125
2021-05-01,Dexamfetamine,4422.666666666667
2021-05-01,Guanfacine,7135.333333333333
2021-05-01,Lisdexamfetamine,18454.666666666668
2021-05-01,Methylphenidate,71954.65866666667
2021-06-01,All chemicals,126710.15000000001
2021-06-01,Atomoxetine,7211.1500000000005
2021-06-01,Dexamfetamine,4993
2021-06-01,Guanfacine,8809.333333333334
2021-06-01,Lisdexamfetamine,23718.666666666668
2021-06-01,Methylphenidate,81978
2021-07-01,All chemicals,117977.925
2021-07-01,Atomoxetine,6249.125
2021-07-01,Dexamfetamine,4389
2021-07-01,Guanfacine,8643
2021-07-01,Lisdexamfetamine,19985.333333333336
2021-07-01,Methylphenidate,78711.46666666667
2021-08-01,All chemicals,103364.44983333333
2021-08-01,Atomoxetine,6549.8625
2021-08-01,Dexamfetamine,3018.6666666666665
2021-08-01,Guanfacine,8785
2021-08-01,Lisdexamfetamine,19760
2021-08-01,Methylphenidate,65250.92066666667
2021-09-01,All chemicals,122730.31883333334
2021-09-01,Atomoxetine,7337.9375
2021-09-01,Dexamfetamine,4645
2021-09-01,Guanfacine,8677
2021-09-01,Lisdexamfetamine,20164.666666666668
2021-09-01,Methylphenidate,81905.71466666667
2021-10-01,All chemicals,117422.68383333334
2021-10-01,Atomoxetine,6430.8625
2021-10-01,Dexamfetamine,2637.666666666667
2021-10-01,Guanfacine,8517.666666666666
2021-10-01,Lisdexamfetamine,21162.666666666668
2021-10-01,Methylphenidate,78673.82133333334
2021-11-01,All chemicals,121883.11533333334
2021-11-01,Atomoxetine,7446.21
2021-11-01,Dexamfetamine,3852.3333333333335
2021-11-01,Guanfacine,8556.333333333334
2021-11-01,Lisdexamfetamine,22142.333333333336
2021-11-01,Methylphenidate,79885.90533333334
2021-12-01,All chemicals,129561.73333333334
2021-12-01,Atomoxetine,7344.1
2021-12-01,Dexamfetamine,3871.3333333333335
2021-12-01,Guanfacine,8446.666666666666
2021-12-01,Lisdexamfetamine,23286.666666666668
2021-12-01,Methylphenidate,86612.96666666667
2022-01-01,All chemicals,124223.55
2022-01-01,Atomoxetine,7954.25
2022-01-01,Dexamfetamine,5632
2022-01-01,Guanfacine,9277.333333333334
2022-01-01,Lisdexamfetamine,21810.666666666668
2022-01-01,Methylphenidate,79549.3
2022-02-01,All chemicals,110915.3925
2022-02-01,Atomoxetine,5937.4125
2022-02-01,Dexamfetamine,2756
2022-02-01,Guanfacine,8191
2022-02-01,Lisdexamfetamine,20866.333333333336
2022-02-01,Methylphenidate,73164.64666666667
2022-03-01,All chemicals,133999.19866666666
2022-03-01,Atomoxetine,8501.95
2022-03-01,Dexamfetamine,3075.0000000000005
2022-03-01,Guanfacine,9097.666666666666
2022-03-01,Lisdexamfetamine,24863.333333333336
2022-03-01,Methylphenidate,88461.24866666667
2022-04-01,All chemicals,138569.57083333333
2022-04-01,Atomoxetine,12603.9375
2022-04-01,Dexamfetamine,4338.333333333334
2022-04-01,Guanfacine,8979
2022-04-01,Lisdexamfetamine,23223.333333333336
2022-04-01,Methylphenidate,89424.96666666667
2022-05-01,All chemicals,150535.42083333334
2022-05-01,Atomoxetine,12514.1875
2022-05-01,Dexamfetamine,4787.333333333334
2022-05-01,Guanfacine,10396.666666666666
2022-05-01,Lisdexamfetamine,26386
2022-05-01,Methylphenidate,96451.23333333334
2022-06-01,All chemicals,146919.95833333334
2022-06-01,Atomoxetine,18683.825
2022-06-01,Dexamfetamine,5652.333333333334
2022-06-01,Guanfacine,9019.666666666666
2022-06-01,Lisdexamfetamine,27299.333333333336
2022-06-01,Methylphenidate,86264.8
2022-07-01,All chemicals,138550.2
2022-07-01,Atomoxetine,14033
2022-07-01,Dexamfetamine,5960.666666666667
2022-07-01,Guanfacine,8512
2022-07-01,Lisdexamfetamine,23487.333333333336
2022-07-01,Methylphenidate,86557.20000000001
2022-08-01,All chemicals,125246.72916666667
2022-08-01,Atomoxetine,7954.3625
2022-08-01,Dexamfetamine,5117.666666666667
2022-08-01,Guanfacine,9701.666666666666
2022-08-01,Lisdexamfetamine,24496.333333333336
2022-08-01,Methylphenidate,77976.70000000001
2022-09-01,All chemicals,145926.545
2022-09-01,Atomoxetine,14982.325
2022-09-01,Dexamfetamine,7178.666666666667
2022-09-01,Guanfacine,9555.333333333334
2022-09-01,Lisdexamfetamine,24631.666666666668
2022-09-01,Methylphenidate,89578.55333333334
2022-10-01,All chemicals,136152.01666666666
2022-10-01,Atomoxetine,9077.35
2022-10-01,Dexamfetamine,5651.666666666667
2022-10-01,Guanfacine,9216.666666666666
2022-10-01,Lisdexamfetamine,25563
2022-10-01,Methylphenidate,86643.33333333334
2022-11-01,All chemicals,161733.3125
2022-11-01,Atomoxetine,9946.5125
2022-11-01,Dexamfetamine,6910
2022-11-01,Guanfacine,9172.333333333334
2022-11-01,Lisdexamfetamine,29606.333333333336
2022-11-01,Methylphenidate,106098.13333333335
2022-12-01,All chemicals,143090.2125
2022-12-01,Atomoxetine,9904.8125
2022-12-01,Dexamfetamine,6153
2022-12-01,Guanfacine,9401.666666666666
2022-12-01,Lisdexamfetamine,26751.666666666668
2022-12-01,Methylphenidate,90879.06666666668
2023-01-01,All chemicals,151197.25833333333
2023-01-01,Atomoxetine,10517.225
2023-01-01,Dexamfetamine,4903.333333333334
2023-01-01,Guanfacine,10282.666666666666
2023-01-01,Lisdexamfetamine,27483.666666666668
2023-01-01,Methylphenidate,98010.36666666667
2023-02-01,All chemicals,160926.88583333333
2023-02-01,Atomoxetine,9596.2625
2023-02-01,Dexamfetamine,8873
2023-02-01,Guanfacine,9237.666666666666
2023-02-01,Lisdexamfetamine,27535.99
2023-02-01,Methylphenidate,105683.96666666667
2023-03-01,All chemicals,187468.67333333334
2023-03-01,Atomoxetine,12697.25
2023-03-01,Dexamfetamine,6889
2023-03-01,Guanfacine,12481
2023-03-01,Lisdexamfetamine,33479.333333333336
2023-03-01,Methylphenidate,121922.09000000001
2023-04-01,All chemicals,150165.89583333334
2023-04-01,Atomoxetine,9855.6625
2023-04-01,Dexamfetamine,4069.3333333333335
2023-04-01,Guanfacine,11419.666666666668
2023-04-01,Lisdexamfetamine,26318.666666666668
2023-04-01,Methylphenidate,98502.56666666667
2023-05-01,All chemicals,174662.63333333333
2023-05-01,Atomoxetine,12058.3
2023-05-01,Dexamfetamine,4172
2023-05-01,Guanfacine,10660.28
2023-05-01,Lisdexamfetamine,33237
2023-05-01,Methylphenidate,114535.05333333334
2023-06-01,All chemicals,186682.77500000002
2023-06-01,Atomoxetine,14278.975
2023-06-01,Dexamfetamine,6925.666666666667
2023-06-01,Guanfacine,10404.333333333334
2023-06-01,Lisdexamfetamine,34767.66666666667
2023-06-01,Methylphenidate,120306.13333333335
2023-07-01,All chemicals,180348.80583333335
2023-07-01,Atomoxetine,15026.2625
2023-07-01,Dexamfetamine,5584.333333333334
2023-07-01,Guanfacine,11289.666666666666
2023-07-01,Lisdexamfetamine,34649.66666666667
2023-07-01,Methylphenidate,113798.87666666668
2023-08-01,All chemicals,174777.16166666668
2023-08-01,Atomoxetine,14409.975
2023-08-01,Dexamfetamine,4359.333333333333
2023-08-01,Guanfacine,10556
2023-08-01,Lisdexamfetamine,34698.66666666667
2023-08-01,Methylphenidate,110753.18666666668
2023-09-01,All chemicals,189150.625
2023-09-01,Atomoxetine,13351.425
2023-09-01,Dexamfetamine,5790
2023-09-01,Guanfacine,10707.666666666668
2023-09-01,Lisdexamfetamine,39945
2023-09-01,Methylphenidate,119356.53333333334
2023-10-01,All chemicals,186829.42500000002
2023-10-01,Atomoxetine,15171.525
2023-10-01,Dexamfetamine,7588.666666666667
2023-10-01,Guanfacine,10363
2023-10-01,Lisdexamfetamine,34995.333333333336
2023-10-01,Methylphenidate,118710.90000000001
2023-11-01,All chemicals,202744.79583333334
2023-11-01,Atomoxetine,14820.7625
2023-11-01,Dexamfetamine,7965
2023-11-01,Guanfacine,13212
2023-11-01,Lisdexamfetamine,37180
2023-11-01,Methylphenidate,129567.03333333334
2023-12-01,All chemicals,183184.80283333335
2023-12-01,Atomoxetine,13678.1375
2023-12-01,Dexamfetamine,8226.333333333334
2023-12-01,Guanfacine,17342.666666666668
2023-12-01,Lisdexamfetamine,29572.173333333336
2023-12-01,Methylphenidate,114365.49200000001
2024-01-01,All chemicals,198635.0625
2024-01-01,Atomoxetine,13281.7625
2024-01-01,Dexamfetamine,8022.666666666667
2024-01-01,Guanfacine,14478
2024-01-01,Lisdexamfetamine,32235.666666666668
2024-01-01,Methylphenidate,130616.96666666667
2024-02-01,All chemicals,190877.94166666668
2024-02-01,Atomoxetine,12533.375
2024-02-01,Dexamfetamine,7958.333333333334
2024-02-01,Guanfacine,12221
2024-02-01,Lisdexamfetamine,32395.000000000004
2024-02-01,Methylphenidate,125770.23333333334
2024-03-01,All chemicals,187047.84583333335
2024-03-01,Atomoxetine,12355.0625
2024-03-01,Dexamfetamine,6784.000000000001
2024-03-01,Guanfacine,11993.333333333334
2024-03-01,Lisdexamfetamine,31424.000000000004
2024-03-01,Methylphenidate,124491.45000000001
