year,summary_name,dimension_code,dimension_description,activity_type,aggregation_type,measure_category,measure_sub_category,measure_value,suppressed_flag,gender_dq_flag
2012-13,DiagnosisAll4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,65_69,0,NA,NA
2012-13,DiagnosisAll4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,70_74,0,NA,NA
2012-13,DiagnosisAll4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,75_79,0,NA,NA
2012-13,DiagnosisAll4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,80_84,0,NA,NA
2012-13,DiagnosisAll4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,85_89,0,NA,NA
2012-13,DiagnosisAll4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,90+,0,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Gender,Male,245,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Gender,Female,79,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Gender,Unknown,0,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,0,0,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,1_4,53,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,5_9,75,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,10_14,37,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,15,7,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,16,11,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,17,9,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,18,11,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,19,16,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,20_24,44,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,25_29,23,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,30_34,10,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,35_39,2,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,40_44,3,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,45_49,1,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,50_54,2,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,55_59,1,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,60_64,3,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,65_69,2,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,70_74,1,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,75_79,0,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,80_84,3,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,85_89,5,NA,NA
2012-13,DiagnosisAll4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,90+,5,NA,NA
