uid,code,category,attribute,value
193422,F90.9,DIAG_4_01,FCE_Male_Sum,11
193423,F90.9,DIAG_4_01,FCE_Female_Sum,11
193424,F90.9,DIAG_4_01,FCE_UNKNOWN_GENDER_Sum,2
193434,F90.9,DIAG_4_01,Age_0_Sum,0
193435,F90.9,DIAG_4_01,Age_1_4_Sum,4
193436,F90.9,DIAG_4_01,Age_5_9_Sum,2
193437,F90.9,DIAG_4_01,Age_10_14_Sum,1
193438,F90.9,DIAG_4_01,Age_15_Sum,0
193439,F90.9,DIAG_4_01,Age_16_Sum,1
193440,F90.9,DIAG_4_01,Age_17_Sum,0
193441,F90.9,DIAG_4_01,Age_18_Sum,1
193442,F90.9,DIAG_4_01,Age_19_Sum,0
193443,F90.9,DIAG_4_01,Age_20_24_Sum,2
193444,F90.9,DIAG_4_01,Age_25_29_Sum,3
193445,F90.9,DIAG_4_01,Age_30_34_Sum,2
193446,F90.9,DIAG_4_01,Age_35_39_Sum,4
193447,F90.9,DIAG_4_01,Age_40_44_Sum,0
193448,F90.9,DIAG_4_01,Age_45_49_Sum,0
193449,F90.9,DIAG_4_01,Age_50_54_Sum,0
193450,F90.9,DIAG_4_01,Age_55_59_Sum,0
193451,F90.9,DIAG_4_01,Age_60_64_Sum,0
193452,F90.9,DIAG_4_01,Age_65_69_Sum,3
193453,F90.9,DIAG_4_01,Age_70_74_Sum,1
193454,F90.9,DIAG_4_01,Age_75_79_Sum,0
193455,F90.9,DIAG_4_01,Age_80_84_Sum,0
193456,F90.9,DIAG_4_01,Age_85_89_Sum,0
193457,F90.9,DIAG_4_01,Age_90_120_Sum,0
