uid,reporting_period,category,code,measure,measure_value
369042,2223,DIAG_4_01,F900,AGE_50_54_SUM,3
369043,2223,DIAG_4_01,F901,AGE_50_54_SUM,0
369044,2223,DIAG_4_01,F908,AGE_50_54_SUM,0
369045,2223,DIAG_4_01,F909,AGE_50_54_SUM,2
377104,2223,DIAG_4_01,F900,AGE_55_59_SUM,0
377105,2223,DIAG_4_01,F901,AGE_55_59_SUM,0
377106,2223,DIAG_4_01,F908,AGE_55_59_SUM,0
377107,2223,DIAG_4_01,F909,AGE_55_59_SUM,1
385166,2223,DIAG_4_01,F900,AGE_60_64_SUM,0
385167,2223,DIAG_4_01,F901,AGE_60_64_SUM,0
385168,2223,DIAG_4_01,F908,AGE_60_64_SUM,0
385169,2223,DIAG_4_01,F909,AGE_60_64_SUM,0
393228,2223,DIAG_4_01,F900,AGE_65_69_SUM,0
393229,2223,DIAG_4_01,F901,AGE_65_69_SUM,0
393230,2223,DIAG_4_01,F908,AGE_65_69_SUM,0
393231,2223,DIAG_4_01,F909,AGE_65_69_SUM,0
401290,2223,DIAG_4_01,F900,AGE_70_74_SUM,0
401291,2223,DIAG_4_01,F901,AGE_70_74_SUM,0
401292,2223,DIAG_4_01,F908,AGE_70_74_SUM,0
401293,2223,DIAG_4_01,F909,AGE_70_74_SUM,2
409352,2223,DIAG_4_01,F900,AGE_75_79_SUM,0
409353,2223,DIAG_4_01,F901,AGE_75_79_SUM,0
409354,2223,DIAG_4_01,F908,AGE_75_79_SUM,0
409355,2223,DIAG_4_01,F909,AGE_75_79_SUM,0
417414,2223,DIAG_4_01,F900,AGE_80_84_SUM,0
417415,2223,DIAG_4_01,F901,AGE_80_84_SUM,0
417416,2223,DIAG_4_01,F908,AGE_80_84_SUM,0
417417,2223,DIAG_4_01,F909,AGE_80_84_SUM,0
425476,2223,DIAG_4_01,F900,AGE_85_89_SUM,0
425477,2223,DIAG_4_01,F901,AGE_85_89_SUM,0
425478,2223,DIAG_4_01,F908,AGE_85_89_SUM,1
425479,2223,DIAG_4_01,F909,AGE_85_89_SUM,0
433538,2223,DIAG_4_01,F900,AGE_90_120_SUM,0
433539,2223,DIAG_4_01,F901,AGE_90_120_SUM,0
433540,2223,DIAG_4_01,F908,AGE_90_120_SUM,0
433541,2223,DIAG_4_01,F909,AGE_90_120_SUM,3
