start_date,end_date,icd10_code,description,breakdown,usage
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_75_79,3
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_80_84,3
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_85_89,0
2024-04-01,2025-03-31,F908,Other hyperkinetic disorders,age_over_90,0
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",main_diagnosis,24
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",all_diagnoses,1668
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",male,836
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",female,822
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",gender_unknown,10
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_0,0
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_1_4,58
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_5_9,147
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_10_14,197
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_15,39
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_16,35
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_17,33
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_18,35
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_19,25
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_20_24,197
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_25_29,184
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_30_34,199
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_35_39,120
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_40_44,111
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_45_49,46
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_50_54,52
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_55_59,47
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_60_64,22
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_65_69,20
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_70_74,12
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_75_79,12
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_80_84,10
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_85_89,8
2024-04-01,2025-03-31,F909,"Hyperkinetic disorder, unspecified",age_over_90,2
