year,dimension_code,dimension_description,measure_category,measure_sub_category,measure_value
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,40_44,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,45_49,1
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,50_54,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,55_59,1
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,60_64,6
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,65_69,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,70_74,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,75_79,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,80_84,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,85_89,0
2013-14,F90.9,"Hyperkinetic disorder, unspecified",Age,90+,0
2013-14,F90.0,Disturbance of activity and attention,Gender,Male,9763
2013-14,F90.0,Disturbance of activity and attention,Gender,Female,3608
2013-14,F90.0,Disturbance of activity and attention,Gender,Unknown,3
2013-14,F90.0,Disturbance of activity and attention,Age,0,7
2013-14,F90.0,Disturbance of activity and attention,Age,1_4,165
2013-14,F90.0,Disturbance of activity and attention,Age,5_9,1983
2013-14,F90.0,Disturbance of activity and attention,Age,10_14,3221
2013-14,F90.0,Disturbance of activity and attention,Age,15,928
2013-14,F90.0,Disturbance of activity and attention,Age,16,842
2013-14,F90.0,Disturbance of activity and attention,Age,17,729
2013-14,F90.0,Disturbance of activity and attention,Age,18,677
2013-14,F90.0,Disturbance of activity and attention,Age,19,667
2013-14,F90.0,Disturbance of activity and attention,Age,20_24,2078
2013-14,F90.0,Disturbance of activity and attention,Age,25_29,895
2013-14,F90.0,Disturbance of activity and attention,Age,30_34,436
2013-14,F90.0,Disturbance of activity and attention,Age,35_39,261
2013-14,F90.0,Disturbance of activity and attention,Age,40_44,188
2013-14,F90.0,Disturbance of activity and attention,Age,45_49,115
2013-14,F90.0,Disturbance of activity and attention,Age,50_54,75
