uid,code,category,measure,measure_value
151130,F909,DIAG_4_01,FCE_FEMALE_SUM,13
151131,F909,DIAG_4_01,FCE_UNKNOWN_GENDER_SUM,0
151139,F909,DIAG_4_01,AGE_0_SUM,0
151140,F909,DIAG_4_01,AGE_1_4_SUM,3
151141,F909,DIAG_4_01,AGE_5_9_SUM,1
151142,F909,DIAG_4_01,AGE_10_14_SUM,0
151143,F909,DIAG_4_01,AGE_15_SUM,0
151144,F909,DIAG_4_01,AGE_16_SUM,0
151145,F909,DIAG_4_01,AGE_17_SUM,0
151146,F909,DIAG_4_01,AGE_18_SUM,1
151147,F909,DIAG_4_01,AGE_19_SUM,2
151148,F909,DIAG_4_01,AGE_20_24_SUM,3
151149,F909,DIAG_4_01,AGE_25_29_SUM,1
151150,F909,DIAG_4_01,AGE_30_34_SUM,1
151151,F909,DIAG_4_01,AGE_35_39_SUM,0
151152,F909,DIAG_4_01,AGE_40_44_SUM,1
151153,F909,DIAG_4_01,AGE_45_49_SUM,0
151154,F909,DIAG_4_01,AGE_50_54_SUM,0
151155,F909,DIAG_4_01,AGE_55_59_SUM,0
151156,F909,DIAG_4_01,AGE_60_64_SUM,0
151157,F909,DIAG_4_01,AGE_65_69_SUM,0
151158,F909,DIAG_4_01,AGE_70_74_SUM,1
151159,F909,DIAG_4_01,AGE_75_79_SUM,0
151160,F909,DIAG_4_01,AGE_80_84_SUM,1
151161,F909,DIAG_4_01,AGE_85_89_SUM,0
151162,F909,DIAG_4_01,AGE_90_120_SUM,7
