month,bnf_chemical_name,monthly_items
2018-02-01,Dexamfetamine,2731
2018-02-01,Guanfacine,618
2018-02-01,Lisdexamfetamine,6730
2018-02-01,Methylphenidate,71926
2018-03-01,All chemicals,102133
2018-03-01,Atomoxetine,9227
2018-03-01,Dexamfetamine,3101
2018-03-01,Guanfacine,758
2018-03-01,Lisdexamfetamine,7907
2018-03-01,Methylphenidate,81140
2018-04-01,All chemicals,96345
2018-04-01,Atomoxetine,8763
2018-04-01,Dexamfetamine,3011
2018-04-01,Guanfacine,722
2018-04-01,Lisdexamfetamine,7373
2018-04-01,Methylphenidate,76476
2018-05-01,All chemicals,103239
2018-05-01,Atomoxetine,9149
2018-05-01,Dexamfetamine,3159
2018-05-01,Guanfacine,846
2018-05-01,Lisdexamfetamine,8232
2018-05-01,Methylphenidate,81853
2018-06-01,All chemicals,102958
2018-06-01,Atomoxetine,9053
2018-06-01,Dexamfetamine,3212
2018-06-01,Guanfacine,855
2018-06-01,Lisdexamfetamine,8326
2018-06-01,Methylphenidate,81512
2018-07-01,All chemicals,100608
2018-07-01,Atomoxetine,9196
2018-07-01,Dexamfetamine,3189
2018-07-01,Guanfacine,890
2018-07-01,Lisdexamfetamine,8263
2018-07-01,Methylphenidate,79070
2018-08-01,All chemicals,95633
2018-08-01,Atomoxetine,9008
2018-08-01,Dexamfetamine,3127
2018-08-01,Guanfacine,958
2018-08-01,Lisdexamfetamine,8330
2018-08-01,Methylphenidate,74210
2018-09-01,All chemicals,98658
2018-09-01,Atomoxetine,8748
2018-09-01,Dexamfetamine,2979
2018-09-01,Guanfacine,933
2018-09-01,Lisdexamfetamine,8501
2018-09-01,Methylphenidate,77497
2018-10-01,All chemicals,105899
2018-10-01,Atomoxetine,9479
2018-10-01,Dexamfetamine,3213
2018-10-01,Guanfacine,1075
2018-10-01,Lisdexamfetamine,9467
2018-10-01,Methylphenidate,82665
2018-11-01,All chemicals,105324
2018-11-01,Atomoxetine,9183
2018-11-01,Dexamfetamine,3157
2018-11-01,Guanfacine,1057
2018-11-01,Lisdexamfetamine,9705
2018-11-01,Methylphenidate,82222
2018-12-01,All chemicals,103324
2018-12-01,Atomoxetine,9135
2018-12-01,Dexamfetamine,3159
2018-12-01,Guanfacine,1116
2018-12-01,Lisdexamfetamine,9623
2018-12-01,Methylphenidate,80291
2019-01-01,All chemicals,107334
2019-01-01,Atomoxetine,9407
2019-01-01,Dexamfetamine,3250
2019-01-01,Guanfacine,1208
2019-01-01,Lisdexamfetamine,10172
2019-01-01,Methylphenidate,83297
2019-02-01,All chemicals,97927
2019-02-01,Atomoxetine,8448
2019-02-01,Dexamfetamine,2968
2019-02-01,Guanfacine,1166
2019-02-01,Lisdexamfetamine,9542
2019-02-01,Methylphenidate,75803
