estimate_year,source_workbook,icb_name,population
2012,ons_pop_estimates_2011-2022.xlsx,NHS Frimley Integrated Care Board,717611
2012,ons_pop_estimates_2011-2022.xlsx,NHS Gloucestershire Integrated Care Board,601301
2012,ons_pop_estimates_2011-2022.xlsx,NHS Greater Manchester Integrated Care Board,2700093
2012,ons_pop_estimates_2011-2022.xlsx,NHS Hampshire and Isle of Wight Integrated Care Board,1748928
2012,ons_pop_estimates_2011-2022.xlsx,NHS Herefordshire and Worcestershire Integrated Care Board,754327
2012,ons_pop_estimates_2011-2022.xlsx,NHS Hertfordshire and West Essex Integrated Care Board,1404228
2012,ons_pop_estimates_2011-2022.xlsx,NHS Humber and North Yorkshire Integrated Care Board,1667952
2012,ons_pop_estimates_2011-2022.xlsx,NHS Kent and Medway Integrated Care Board,1746406
2012,ons_pop_estimates_2011-2022.xlsx,NHS Lancashire and South Cumbria Integrated Care Board,1652566
2012,ons_pop_estimates_2011-2022.xlsx,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",1026311
2012,ons_pop_estimates_2011-2022.xlsx,NHS Lincolnshire Integrated Care Board,719807
2012,ons_pop_estimates_2011-2022.xlsx,NHS Mid and South Essex Integrated Care Board,1137486
2012,ons_pop_estimates_2011-2022.xlsx,NHS Norfolk and Waveney Integrated Care Board,980122
2012,ons_pop_estimates_2011-2022.xlsx,NHS North Central London Integrated Care Board,1368761
2012,ons_pop_estimates_2011-2022.xlsx,NHS North East London Integrated Care Board,1814804
2012,ons_pop_estimates_2011-2022.xlsx,NHS North East and North Cumbria Integrated Care Board,2916748
2012,ons_pop_estimates_2011-2022.xlsx,NHS North West London Integrated Care Board,2009683
2012,ons_pop_estimates_2011-2022.xlsx,NHS Northamptonshire Integrated Care Board,703143
2012,ons_pop_estimates_2011-2022.xlsx,NHS Nottingham and Nottinghamshire Integrated Care Board,1097047
2012,ons_pop_estimates_2011-2022.xlsx,"NHS Shropshire, Telford and Wrekin Integrated Care Board",475885
2012,ons_pop_estimates_2011-2022.xlsx,NHS Somerset Integrated Care Board,535842
2012,ons_pop_estimates_2011-2022.xlsx,NHS South East London Integrated Care Board,1693996
2012,ons_pop_estimates_2011-2022.xlsx,NHS South West London Integrated Care Board,1433523
2012,ons_pop_estimates_2011-2022.xlsx,NHS South Yorkshire Integrated Care Board,1348437
2012,ons_pop_estimates_2011-2022.xlsx,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1101004
2012,ons_pop_estimates_2011-2022.xlsx,NHS Suffolk and North East Essex Integrated Care Board,931469
2012,ons_pop_estimates_2011-2022.xlsx,NHS Surrey Heartlands Integrated Care Board,997339
2012,ons_pop_estimates_2011-2022.xlsx,NHS Sussex Integrated Care Board,1621930
2012,ons_pop_estimates_2011-2022.xlsx,NHS West Yorkshire Integrated Care Board,2291008
2013,ons_pop_estimates_2011-2022.xlsx,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",879438
2013,ons_pop_estimates_2011-2022.xlsx,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",902144
2013,ons_pop_estimates_2011-2022.xlsx,NHS Birmingham and Solihull Integrated Care Board,1303646
2013,ons_pop_estimates_2011-2022.xlsx,NHS Black Country Integrated Care Board,1156021
2013,ons_pop_estimates_2011-2022.xlsx,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",913554
2013,ons_pop_estimates_2011-2022.xlsx,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",1654611
2013,ons_pop_estimates_2011-2022.xlsx,NHS Cambridgeshire and Peterborough Integrated Care Board,846265
